internship_id,company_name,role,domain,location,positions_available,stipend,duration_months,required_skills,preferred_skills,min_cgpa,preferred_branches,experience_required
INT001,TechCorp Solutions,Data Science Intern,Software Development,Hyderabad,5,33000,6,"PyTorch, NumPy, Power BI, SQL, Scikit-learn, C++","MongoDB, AWS, HTML/CSS",6.3,"Information Technology, Computer Science",Not Required
INT002,QuantumLeap Tech,Software Developer Intern,Machine Learning,Bangalore,1,49000,6,"Vue.js, Data Analysis, Git, REST APIs, TensorFlow","Spring Boot, Docker, HTML/CSS, Redis",6.6,"Electrical Engineering, Civil Engineering",Not Required
INT003,MobileFirst Apps,Data Analyst Intern,Mobile Development,Delhi,2,34000,3,"REST APIs, C++, Power BI, Git, Data Analysis","Jenkins, Redis, Vue.js",6.2,"Information Technology, Electrical Engineering, Computer Science",Not Required
INT004,DataMinds Analytics,Data Science Intern,Data Science,Delhi,2,13000,6,"PyTorch, React, SQL, C++, Flask","Angular, Power BI, Machine Learning",7.8,"Electronics and Communication, Information Technology",Not Required
INT005,CloudNine Systems,Mobile App Developer Intern,Cloud Computing,Bangalore,2,26000,3,"HTML/CSS, AWS, Jenkins, JavaScript","Machine Learning, PyTorch, SQL, Python",8.0,"Information Technology, Electronics and Communication, Electrical Engineering",Not Required
INT006,SmartData Corp,DevOps Intern,Data Analysis,Mumbai,4,40000,3,"Data Analysis, Redis, React","Jenkins, MongoDB, Vue.js, PostgreSQL",7.3,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Information Technology",Not Required
INT007,TechVista Solutions,Mobile App Developer Intern,Product Development,Ahmedabad,4,18000,2,"Docker, Spring Boot, Django","PyTorch, Data Analysis",7.7,"Computer Science, Information Technology",Preferred
INT008,CloudScale Tech,Software Developer Intern,Cloud Infrastructure,Chennai,1,11000,6,"Power BI, React, Data Analysis, Kubernetes, Docker, PyTorch","Django, SQL, TensorFlow",6.7,"Mechanical Engineering, Civil Engineering",Not Required
INT009,ByteStream Solutions,Data Analyst Intern,Backend Development,Bangalore,4,37000,6,"NumPy, Pandas, Django, Vue.js","MongoDB, Spring Boot",7.3,"Information Technology, Civil Engineering, Electrical Engineering, Mechanical Engineering",Preferred
INT010,CyberShield Corp,Cybersecurity Intern,Information Security,Bangalore,4,45000,6,"TensorFlow, Python, AWS, PostgreSQL, Java, Machine Learning","Jenkins, Django",6.7,"Electrical Engineering, Information Technology, Computer Science",Not Required
INT011,Analytics Pro,Frontend Developer Intern,Business Intelligence,Noida,2,14000,2,"Angular, NumPy, PyTorch, Node.js, Power BI, JavaScript","Machine Learning, HTML/CSS, Data Analysis, Flask",7.4,"Computer Science, Electronics and Communication, Electrical Engineering, Information Technology",Preferred
INT012,WebCraft Digital,DevOps Intern,Web Development,Ahmedabad,3,10000,6,"NumPy, Data Analysis, Angular, REST APIs, Kubernetes","SQL, HTML/CSS, AWS",6.8,"Electrical Engineering, Mechanical Engineering, Information Technology",Preferred
INT013,InfraCode Systems,Cloud Engineer Intern,DevOps,Mumbai,3,47000,3,"REST APIs, Redis, Jenkins","Pandas, Machine Learning, Kubernetes",6.7,"Information Technology, Electrical Engineering, Electronics and Communication, Mechanical Engineering",Not Required
INT014,AI Innovations Lab,Web Developer Intern,Artificial Intelligence,Hyderabad,1,30000,6,"Flask, Data Analysis, C++","TensorFlow, MongoDB, Redis, Kubernetes",6.7,"Electrical Engineering, Computer Science, Civil Engineering, Electronics and Communication",Not Required
INT015,NextGen Software,Frontend Developer Intern,Full Stack Development,Delhi,2,37000,2,"Redis, Flask, PostgreSQL, REST APIs, Python, Django","Java, Data Analysis, C++, NumPy",6.5,"Information Technology, Electrical Engineering",Not Required
INT016,Innovate Systems,Mobile App Developer Intern,Enterprise Solutions,Ahmedabad,5,39000,2,"PyTorch, Jenkins, Angular, Node.js","Vue.js, NumPy",6.2,"Computer Science, Mechanical Engineering, Electrical Engineering, Electronics and Communication",Preferred
INT017,PixelPerfect Studios,Frontend Developer Intern,Frontend Development,Pune,4,30000,2,"JavaScript, PyTorch, Node.js","Kubernetes, HTML/CSS, Spring Boot",6.8,"Information Technology, Computer Science, Civil Engineering",Not Required
INT018,SecureNet Technologies,Web Developer Intern,Cybersecurity,Delhi,1,44000,6,"Node.js, MongoDB, Java, Jenkins, Git, PostgreSQL","Vue.js, Flask, Scikit-learn",7.7,"Information Technology, Civil Engineering",Not Required
INT019,CodeCrafters Inc,Web Developer Intern,Software Engineering,Kolkata,3,45000,3,"Angular, Java, Power BI","Node.js, C++",7.0,"Computer Science, Electronics and Communication, Electrical Engineering",Not Required
INT020,Digital Dynamics,Software Developer Intern,Digital Transformation,Bangalore,5,26000,3,"Git, Spring Boot, Pandas","REST APIs, AWS, PostgreSQL",7.6,"Information Technology, Computer Science",Not Required
INT021,CyberShield Corp,Data Analyst Intern,Information Security,Ahmedabad,1,23000,6,"Python, Machine Learning, SQL, Spring Boot","Kubernetes, NumPy, Flask",6.4,"Electronics and Communication, Electrical Engineering",Not Required
INT022,DataMinds Analytics,Full Stack Developer Intern,Data Science,Chennai,1,12000,2,"Jenkins, HTML/CSS, Python, JavaScript, Spring Boot","Node.js, Machine Learning, Data Analysis",6.7,"Electrical Engineering, Mechanical Engineering, Electronics and Communication",Not Required
INT023,Innovate Systems,ML Engineer Intern,Enterprise Solutions,Bangalore,2,48000,3,"Redis, Scikit-learn, Vue.js, Docker, React, Angular","Pandas, Git",7.6,"Electrical Engineering, Civil Engineering",Preferred
INT024,CyberShield Corp,Cloud Engineer Intern,Information Security,Noida,5,41000,6,"AWS, Git, Power BI, PostgreSQL, Docker, Flask","SQL, Spring Boot",7.0,"Computer Science, Information Technology, Civil Engineering, Electronics and Communication",Not Required
INT025,Analytics Pro,Data Analyst Intern,Business Intelligence,Hyderabad,5,39000,6,"Java, Machine Learning, TensorFlow, AWS","JavaScript, Django",6.7,"Electronics and Communication, Electrical Engineering, Civil Engineering, Mechanical Engineering",Not Required
INT026,Digital Dynamics,Data Science Intern,Digital Transformation,Ahmedabad,2,27000,2,"AWS, NumPy, Angular","Scikit-learn, Data Analysis, Jenkins",7.4,"Electrical Engineering, Computer Science",Not Required
INT027,Innovate Systems,Frontend Developer Intern,Enterprise Solutions,Gurugram,3,49000,2,"Redis, Pandas, Spring Boot","MongoDB, PostgreSQL, HTML/CSS",7.4,"Electronics and Communication, Electrical Engineering",Preferred
INT028,CyberShield Corp,Web Developer Intern,Information Security,Hyderabad,5,21000,3,"Angular, NumPy, Django","Python, Docker, MongoDB",7.0,"Mechanical Engineering, Computer Science, Information Technology",Preferred
INT029,TechVista Solutions,Cybersecurity Intern,Product Development,Delhi,3,22000,3,"Node.js, Java, Angular, PyTorch, Flask","Kubernetes, Redis, Docker",7.4,"Electrical Engineering, Electronics and Communication",Not Required
INT030,DataMinds Analytics,DevOps Intern,Data Science,Gurugram,5,36000,3,"Vue.js, TensorFlow, Scikit-learn, PyTorch, Pandas, NumPy","Redis, Jenkins",7.8,"Computer Science, Electrical Engineering",Preferred
INT031,TechVista Solutions,ML Engineer Intern,Product Development,Mumbai,3,11000,6,"AWS, Redis, JavaScript, C++, Kubernetes","Flask, Docker",6.2,"Electronics and Communication, Mechanical Engineering, Computer Science",Preferred
INT032,PixelPerfect Studios,Data Science Intern,Frontend Development,Mumbai,3,45000,3,"AWS, JavaScript, TensorFlow, Git, Machine Learning, Kubernetes","NumPy, Node.js",7.5,"Mechanical Engineering, Computer Science, Electronics and Communication",Not Required
INT033,CodeCrafters Inc,DevOps Intern,Software Engineering,Delhi,1,11000,2,"Docker, Redis, Python, MongoDB, Jenkins, Node.js","NumPy, JavaScript, PyTorch",6.6,"Information Technology, Computer Science, Mechanical Engineering",Not Required
INT034,InfraCode Systems,Full Stack Developer Intern,DevOps,Kolkata,5,46000,6,"Angular, PyTorch, Machine Learning, REST APIs, Kubernetes, Power BI","SQL, PostgreSQL",7.6,"Information Technology, Civil Engineering, Computer Science",Preferred
INT035,TechVista Solutions,Data Analyst Intern,Product Development,Noida,5,47000,6,"Machine Learning, HTML/CSS, Jenkins, NumPy","Django, TensorFlow",6.0,"Computer Science, Electrical Engineering, Information Technology, Civil Engineering",Not Required
INT036,CodeCrafters Inc,Backend Developer Intern,Software Engineering,Hyderabad,2,25000,2,"Power BI, Flask, Vue.js, HTML/CSS, Jenkins","C++, NumPy, Node.js",6.9,"Computer Science, Mechanical Engineering, Electrical Engineering, Civil Engineering",Not Required
INT037,ByteStream Solutions,DevOps Intern,Backend Development,Pune,2,19000,3,"Kubernetes, Angular, AWS, Data Analysis, Python, Vue.js","MongoDB, Docker, Node.js",6.6,"Electrical Engineering, Information Technology, Civil Engineering, Computer Science",Not Required
INT038,QuantumLeap Tech,Backend Developer Intern,Machine Learning,Delhi,1,17000,6,"Spring Boot, React, Python","Java, Pandas, Node.js",6.5,"Electrical Engineering, Civil Engineering, Information Technology",Not Required
INT039,DataMinds Analytics,Frontend Developer Intern,Data Science,Bangalore,2,14000,6,"Machine Learning, Node.js, Spring Boot, Scikit-learn, Git","Redis, Data Analysis, PyTorch",7.5,"Civil Engineering, Electronics and Communication",Preferred
INT040,QuantumLeap Tech,Full Stack Developer Intern,Machine Learning,Delhi,1,36000,2,"Angular, Redis, REST APIs, NumPy, Vue.js","Data Analysis, Machine Learning, PyTorch, React",6.8,"Computer Science, Civil Engineering, Electronics and Communication, Information Technology",Not Required
INT041,TechVista Solutions,Frontend Developer Intern,Product Development,Gurugram,2,35000,6,"PostgreSQL, Spring Boot, REST APIs, Flask","NumPy, C++",6.5,"Civil Engineering, Electronics and Communication, Computer Science, Mechanical Engineering",Preferred
INT042,AI Innovations Lab,Web Developer Intern,Artificial Intelligence,Chennai,5,33000,6,"Jenkins, Flask, TensorFlow, Java","MongoDB, Redis, Scikit-learn, PostgreSQL",6.7,"Information Technology, Civil Engineering, Computer Science, Electrical Engineering",Not Required
INT043,Innovate Systems,Frontend Developer Intern,Enterprise Solutions,Mumbai,4,42000,2,"Kubernetes, SQL, Flask, Machine Learning, Power BI, Data Analysis","AWS, Node.js",6.6,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Information Technology",Not Required
INT044,PixelPerfect Studios,Data Analyst Intern,Frontend Development,Kolkata,3,47000,2,"Data Analysis, Git, Kubernetes","Java, AWS",6.0,"Civil Engineering, Electrical Engineering, Information Technology, Mechanical Engineering",Not Required
INT045,CodeCrafters Inc,ML Engineer Intern,Software Engineering,Ahmedabad,3,33000,2,"Docker, NumPy, MongoDB, Kubernetes, Pandas, Flask","Django, Jenkins, AWS, Python",7.2,"Computer Science, Electrical Engineering",Preferred
INT046,PixelPerfect Studios,Software Developer Intern,Frontend Development,Ahmedabad,2,33000,3,"PostgreSQL, SQL, REST APIs, Git, Java","Power BI, TensorFlow",6.1,"Information Technology, Electrical Engineering, Electronics and Communication, Civil Engineering",Not Required
INT047,CloudScale Tech,ML Engineer Intern,Cloud Infrastructure,Kolkata,2,33000,6,"Vue.js, AWS, Data Analysis","C++, Redis",6.8,"Information Technology, Electrical Engineering",Not Required
INT048,ByteStream Solutions,Mobile App Developer Intern,Backend Development,Noida,3,25000,6,"Machine Learning, React, Docker, Pandas, NumPy","Node.js, Jenkins, Data Analysis",6.9,"Civil Engineering, Electronics and Communication, Mechanical Engineering",Preferred
INT049,QuantumLeap Tech,Backend Developer Intern,Machine Learning,Noida,3,49000,3,"PostgreSQL, TensorFlow, C++, Node.js, Docker, Power BI","PyTorch, React",7.0,"Electrical Engineering, Information Technology, Mechanical Engineering",Preferred
